time,tc_mean,vpd_mean,patm_mean,co2_mean,ppfd_mean,precip_molar_sum,year,gpp,chi,ci,ca,growing_season
2004-01-04,-5.898021,37.95521,97459.15,396.8998,46.92337,99.85993,2004,8.87836,0.7057081,27.29786,38.68152,False
2004-01-18,0.3896726,98.68289,96373.36,382.7083,45.94014,2442.278,2004,13.95625,0.6861493,25.30716,36.88288,True
2004-02-01,-3.262381,89.65908,96690.18,385.2986,75.70701,1487.487,2004,18.15552,0.6477401,24.13129,37.2546,False
2004-02-15,4.290067,210.4293,97640.38,379.4699,58.57086,2569.997,2004,20.46652,0.6565321,24.32556,37.05159,True
2004-02-29,-1.849048,118.7039,96955.65,385.007,120.5669,151.0289,2004,31.87838,0.6359665,23.73974,37.3286,False
2004-03-14,-0.6084077,119.7787,97936.54,390.6612,169.0947,1259.936,2004,48.50042,0.6528967,24.97983,38.26001,False
2004-03-28,5.517009,270.7732,97318.84,387.5036,195.291,1681.963,2004,70.55132,0.6444531,24.30323,37.7114,True
2004-04-11,5.942783,312.0396,97125.64,382.9854,310.6491,721.6809,2004,112.5092,0.6342929,23.59424,37.19771,True
2004-04-25,8.404658,362.4298,97141.36,386.87,319.8657,677.2135,2004,122.3688,0.6507539,24.45603,37.58108,True
2004-05-09,11.16537,376.617,96125.03,378.6313,305.7869,2696.861,2004,121.2858,0.6823554,24.83497,36.39595,True
2004-05-23,9.889137,260.696,97467.38,386.0638,286.3209,3443.345,2004,114.3064,0.7051324,26.53317,37.62863,True
2004-06-06,10.99292,362.2467,97632.33,381.5259,331.576,1096.409,2004,131.9103,0.685164,25.52185,37.24926,True
2004-06-20,14.94677,459.6522,97248.03,375.4171,415.1937,2396.355,2004,167.2296,0.7098782,25.91664,36.50857,True
2004-07-04,14.74963,586.1952,97257.26,376.0963,321.7978,1225.829,2004,127.5987,0.6824817,24.96388,36.5781,True
2004-07-18,15.57286,505.6685,97132.72,371.3299,399.9241,2041.223,2004,159.5907,0.7081163,25.54054,36.06829,True
2004-08-01,17.16342,536.0607,97532.53,385.5398,404.2593,3426.908,2004,163.5025,0.7208856,27.10722,37.60267,True
2004-08-15,18.58426,820.5211,97112.16,386.6945,445.3084,781.8605,2004,174.1795,0.6954201,26.11493,37.55274,True
2004-08-29,16.66539,563.0624,97026.8,371.3745,276.6438,1247.94,2004,109.639,0.7106259,25.60618,36.03328,True
2004-09-12,13.99464,562.0478,97959.83,379.2629,349.9568,1436.609,2004,139.2022,0.677505,25.17103,37.15253,True
2004-09-26,11.76973,384.5171,97135.79,371.7871,219.4252,2231.322,2004,87.01935,0.688881,24.87813,36.11383,True
2004-10-10,10.42964,271.7838,97497.61,377.0018,176.9118,1176.368,2004,70.5602,0.7078944,26.01991,36.75677,True
2004-10-24,8.099256,313.4997,97011.81,373.2184,182.4269,627.238,2004,69.11815,0.6631177,24.00923,36.20659,True
2004-11-07,8.449451,132.7661,97158.53,385.5859,66.32808,2120.415,2004,26.45045,0.7534985,28.22829,37.46296,True
2004-11-21,1.739137,53.38527,97227.1,385.623,44.82499,4934.89,2004,14.78535,0.7630998,28.61091,37.49301,True
2004-12-05,1.852872,85.37054,97614.32,387.8627,59.47143,1371.163,2004,19.52983,0.7202316,27.26865,37.86095,True
