,year,N_growing_days,N_days,annual_mean_gpp,annual_precip_molar,annual_mean_ca_in_GS,annual_mean_chi_in_GS,annual_mean_VPD_in_GS,annual_total_A0
0,2004,296,366,82.777,45202.019,37.039239,0.69032811,361.62412,217.93962
1,2005,278,365,89.388885,42998.535,38.81199,0.68765115,381.04226,234.70471
2,2006,284,365,90.840536,47938.117,38.761292,0.68580913,447.15991,238.51625
3,2007,351,365,102.86566,60591.664,38.782005,0.69544864,350.44997,270.09013
4,2008,359,366,99.66264,53247.019,39.11343,0.67807604,428.29043,262.39702
5,2009,308,365,101.66633,58094.568,39.855321,0.68363477,461.12376,266.94109
6,2010,266,365,94.72209,68255.435,38.915845,0.66899925,533.54282,248.70789
7,2011,332,365,109.65822,50774.157,39.637385,0.67750659,429.07036,287.92507
8,2012,324,366,104.16283,48949.246,39.619757,0.68935926,385.85295,274.24536
9,2013,281,365,93.904302,60713.491,40.157873,0.70713575,367.522,246.56066
10,2014,351,365,104.888,38802.796,41.440976,0.69921912,326.20713,275.40011
